category,title,creator,publication_year,description
Album,Can't Buy a Thrill,Steely Dan,1972,
Album,Countdown to Ecstasy,Steely Dan,1973,
Album,Pretzel Logic,Steely Dan,1974,
Album,Katy Lied,Steely Dan,1975,
Album,The Royal Scam,Steely Dan,1976,
Album,Aja,Steely Dan,1977,
Album,Gaucho,Steely Dan,1980,
Album,Silence Yourself,Savages,2013,
Album,Adore Life,Savages,2016,
Album,NVM,Tacocat,2014,
Album,Lost Time,Tacocat,2016,
Album,No Regrets,Chastity Belt,2013,
Album,Time to Go Home,Chastity Belt,2015,
Album,Sleater-Kinney,Sleater-Kinney,1995,
Album,Call the Doctor,Sleater-Kinney,1996,
Album,Dig Me Out,Sleater-Kinney,1997,
Album,The Hot Rock,Sleater-Kinney,1999,
Album,All Hands on the Bad One,Sleater-Kinney,2000,
Album,One Beat,Sleater-Kinney,2002,
Album,The Woods,Sleater-Kinney,2005,
Album,No Cities to Love,Sleater-Kinney,2015,
Book,Hidden Figures,Margot Lee Shetterly,2016,Good book that came before the movie
Book,Practical Object-Oriented Design in Ruby,Sandi Metz,2012,Good programming book
Book,Kindred,Octavia E. Butler,1979,Good sci-fi book
Book,Parable of the Sower,Octavia E. Butler,1993,
Book,A Wizard of Earthsea,Ursula K. Leguin,1968,
Movie,A Wizard,Test,1968,
